,Name,"Total/
Rural/
Urban",Male,Female
0,INDIA ,Total,623270258,587584719
1,INDIA ,Rural,427781058,405967794
2,INDIA ,Urban,195489200,181616925
3,JAMMU  KASHMIR ,Total,6640662,5900640
4,JAMMU  KASHMIR,Rural,4774477,4333583
5,JAMMU  KASHMIR,Urban,1866185,1567057
6,Kupwara,Total,474190,396164
7,Kupwara,Rural,412038,353587
8,Kupwara,Urban,62152,42577
9,Kupwara,Total,297837,243077
10,Kupwara,Rural,252856,212467
11,Kupwara,Urban,44981,30610
12,Handwara,Total,141882,127429
13,Handwara,Rural,134503,121208
14,Handwara,Urban,7379,6221
15,Karnah,Total,34471,25658
16,Karnah,Rural,24679,19912
17,Karnah,Urban,9792,5746
18,Badgam,Total,398041,355704
19,Badgam,Rural,343385,312448
20,Badgam,Urban,54656,43256
21,Khag,Total,34457,33139
22,Khag,Rural,34457,33139
23,Khag,Urban,0,0
24,Beerwah,Total,87277,76056
25,Beerwah,Rural,80103,69568
26,Beerwah,Urban,7174,6488
27,Khansahib,Total,64227,59085
28,Khansahib,Rural,62783,57899
29,Khansahib,Urban,1444,1186
30,Budgam,Total,70182,63673
31,Budgam,Rural,57359,53697
32,Budgam,Urban,12823,9976
33,Chadoora,Total,113529,98704
34,Chadoora,Rural,86218,78727
35,Chadoora,Urban,27311,19977
36,Charar E Shrief,Total,28369,25047
37,Charar E Shrief,Rural,22465,19418
38,Charar E Shrief,Urban,5904,5629
39,LehLadakh,Total,78971,54516
40,LehLadakh,Rural,48411,39405
41,LehLadakh,Urban,30560,15111
42,Leh,Total,56597,37364
43,Leh,Rural,26037,22253
44,Leh,Urban,30560,15111
45,Nubra,Total,13740,8693
46,Nubra,Rural,13740,8693
47,Nubra,Urban,0,0
48,Khalsi,Total,8634,8459
49,Khalsi,Rural,8634,8459
50,Khalsi,Urban,0,0
51,Kargil,Total,77785,63017
52,Kargil,Rural,67703,56761
53,Kargil,Urban,10082,6256
54,Kargil,Total,49431,37030
55,Kargil,Rural,39349,30774
56,Kargil,Urban,10082,6256
57,Sanku,Total,21346,19202
58,Sanku,Rural,21346,19202
59,Sanku,Urban,0,0
60,Zanskar,Total,7008,6785
61,Zanskar,Rural,7008,6785
62,Zanskar,Urban,0,0
63,Punch,Total,251899,224936
64,Punch,Rural,229774,208431
65,Punch,Urban,22125,16505
66,Haveli,Total,71538,61229
67,Haveli,Rural,55475,50438
68,Haveli,Urban,16063,10791
69,Mandi,Total,41365,36582
70,Mandi,Rural,41365,36582
71,Mandi,Urban,0,0
72,Mendhar,Total,73297,68069
73,Mendhar,Rural,70776,65557
74,Mendhar,Urban,2521,2512
75,Surankote,Total,65699,59056
76,Surankote,Rural,62158,55854
77,Surankote,Urban,3541,3202
78,Rajouri,Total,345351,297064
79,Rajouri,Rural,310748,279353
80,Rajouri,Urban,34603,17711
81,Thanamandi,Total,35472,32301
82,Thanamandi,Rural,32373,29910
83,Thanamandi,Urban,3099,2391
84,Darhal,Total,19121,17106
85,Darhal,Rural,19121,17106
86,Darhal,Urban,0,0
87,Rajauri,Total,103307,85760
88,Rajauri,Rural,84130,75451
89,Rajauri,Urban,19177,10309
90,Budhal,Total,64990,58060
